"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2019-10-14T23:55:55.813Z","6.8472","124.9315","14.36","4.7","mb",,67,679,"0.81","us","us70005u82","2019-10-15T00:23:44.523Z","2km ESE of Bagontapay, Philippines","earthquake",7,"5.2",103,29,"reviewed","us","us"
"2019-10-14T23:39:54.564Z","60.9375","-150.7865",35,"2.9","ml",,,,"0.64","ak","ak019d7161qi","2019-10-14T23:50:18.547Z","38km NE of Nikiski, Alaska","earthquake",,"3.6",,,"automatic","ak","ak"
"2019-10-14T23:18:45.179Z","-6.2801","130.1894","154.05","4.5","mb",,90,2018,"1.23","us","us70005u7u","2019-10-14T23:42:41.040Z","222km NW of Saumlaki, Indonesia","earthquake","5.3","9.3",135,16,"reviewed","us","us"
"2019-10-14T23:14:54.947Z","44.5751","146.7004","127.52","5.3","mww",,50,2981,"1.04","us","us70005u7t","2019-10-14T23:33:26.040Z","86km N of Shikotan, Russia","earthquake","7.5",4,73,18,"reviewed","us","us"
"2019-10-14T22:56:49.720Z","19.0365","-67.1618",110,"3.09","md",9,221,"0.8014","0.31","pr","pr2019287023","2019-10-15T00:30:54.344Z","60km N of San Antonio, Puerto Rico","earthquake","3.29","4.2","0.22",9,"reviewed","pr","pr"
"2019-10-14T22:36:20.100Z","19.1738","-67.2381",10,"3.19","md",10,234,"0.8253","0.33","pr","pr2019287020","2019-10-15T00:30:11.992Z","76km N of San Antonio, Puerto Rico","earthquake","1.48","31.61","0.22",9,"reviewed","pr","pr"
"2019-10-14T22:23:52.684Z","-4.5312","101.1508",10,"5.9","mww",,39,1807,"0.71","us","us70005u76","2019-10-15T00:32:51.087Z","147km WSW of Bengkulu, Indonesia","earthquake","6.7","1.8",71,19,"reviewed","us","us"
"2019-10-14T22:00:10.537Z","-21.3263","-173.9835",10,"5.2","mb",,66,4418,"0.96","us","us70005u77","2019-10-14T22:48:48.040Z","100km E of `Ohonua, Tonga","earthquake","10.9","1.8",41,199,"reviewed","us","us"
"2019-10-14T21:33:20.785Z","-55.8242","-27.1124",10,"5.6","mb",,68,5606,"0.81","us","us70005u6q","2019-10-14T23:35:03.861Z","97km N of Visokoi Island, South Georgia and the South Sandwich Islands","earthquake","10.7","1.9",56,113,"reviewed","us","us"
"2019-10-14T21:26:31.539Z","-8.9799",128547,10,"4.4","mb",,57,2896,"1.2","us","us70005u6h","2019-10-14T22:58:32.040Z","Timor Sea","earthquake","6.4","1.6","0.19",8,"reviewed","us","us"
"2019-10-14T21:26:28.410Z","19.4221","-65.1461",44,"3.44","md",7,309,"1.6549","0.24","pr","pr2019287017","2019-10-15T00:56:44.825Z","121km N of Charlotte Amalie, U.S. Virgin Islands","earthquake","2.85","16.09","0.17",6,"reviewed","pr","pr"
"2019-10-14T21:07:13.143Z","-6.0186","146.9634","108.33",5,"mb",,44,3369,"0.73","us","us70005u63","2019-10-14T21:24:30.040Z","77km N of Lae, Papua New Guinea","earthquake","7.8","7.3","0.1",32,"reviewed","us","us"
"2019-10-14T20:42:44.581Z","38.9029","14.7782","279.76","4.3","mb",,58,1084,"1.03","us","us70005u5s","2019-10-14T21:02:08.040Z","50km NNW of Lipari, Italy","earthquake","7.8","7.9",137,15,"reviewed","us","us"
"2019-10-14T19:28:19.400Z","10.4741","-62.3754","103.42","4.9","mb",,137,1793,"0.73","us","us70005u58","2019-10-14T20:12:58.699Z","13km SW of Guiria, Venezuela","earthquake","9.1","9.4",104,29,"reviewed","us","us"
"2019-10-14T19:09:37.691Z","0.8868","97.0661",10,"4.3","mb",,138,656,"1.07","us","us70005u54","2019-10-14T19:30:59.040Z","192km SSE of Sinabang, Indonesia","earthquake","7.5","1.9",138,15,"reviewed","us","us"
"2019-10-14T18:11:04.622Z","52.4697","172.3706",10,"4.5","mb",,228,1088,"0.61","us","us70005u4y","2019-10-14T19:46:38.040Z","69km SW of Attu Station, Alaska","earthquake","13.3",2,95,32,"reviewed","us","us"
"2019-10-14T15:00:52.023Z","61.4142","-150.0056",20,"2.8","ml",,,,"0.84","ak","ak019d6w67ux","2019-10-14T15:06:53.566Z","12km SSW of Big Lake, Alaska","earthquake",,"0.3",,,"automatic","ak","ak"
"2019-10-14T14:39:21.931Z","56.3883","-149.9303","3.5","3.2","ml",,,,"0.85","ak","ak019d6vt2jd","2019-10-14T21:14:59.928Z","216km SE of Kodiak, Alaska","earthquake",,"2.1",,,"reviewed","ak","ak"
"2019-10-14T14:31:36.550Z",19052,-67143,67,"2.73","md",14,217,"0.7474","0.45","pr","pr2019287014","2019-10-14T16:29:21.520Z","62km NNW of Isabela, Puerto Rico","earthquake","2.35","5.53","0.38",13,"reviewed","pr","pr"
"2019-10-14T14:09:26.716Z","34.6287","137.0435","336.4","4.3","mb",,69,719,"0.43","us","us70005u37","2019-10-14T15:03:49.040Z","12km SE of Toyohama, Japan","earthquake","8.5","4.4",77,48,"reviewed","us","us"
"2019-10-14T13:15:02.954Z","68.8419","-146.2196",0,"2.6","ml",,,,"0.96","ak","ak019d6v2gjs","2019-10-14T13:20:33.255Z","84km NNW of Arctic Village, Alaska","earthquake",,"0.5",,,"automatic","ak","ak"
"2019-10-14T12:13:52.054Z","56.1724","-153.0656","6.3",4,"ml",,,,"0.63","ak","ak019d6ugt71","2019-10-14T19:34:19.429Z","162km SSE of Larsen Bay, Alaska","earthquake",,"1.6",,,"reviewed","ak","ak"
"2019-10-14T11:51:43.220Z","19.1375","-67.2616",28,"2.77","md",8,297,"0.7838","0.21","pr","pr2019287011","2019-10-14T12:29:06.226Z","73km NNW of San Antonio, Puerto Rico","earthquake","1.49","13.93","0.32",6,"reviewed","pr","pr"
"2019-10-14T11:37:16.160Z","39.2455","-111.4651667","-1.17","2.74","ml",26,61,"0.09357","0.17","uu","uu60345307","2019-10-14T23:04:56.343Z","15km E of Manti, Utah","earthquake","0.33","0.95",144,20,"reviewed","uu","uu"
"2019-10-14T11:28:40.540Z",19298,"-64.5253",69,"3.11","md",7,342,"1.9695","0.2","pr","pr2019287013","2019-10-14T16:29:04.700Z","98km N of Road Town, British Virgin Islands","earthquake","5.18","14.32","0.32",4,"reviewed","pr","pr"
"2019-10-14T10:01:05.703Z",53268,"-171.6859",26,"3.6","ml",,,,"0.66","ak","ak019d6t75wn","2019-10-14T19:29:27.477Z","91km NNW of Amukta Island, Alaska","earthquake",,"1.5",,,"reviewed","ak","ak"
