"genero","curso","idade","computador","soo","marca","linguagem","quallingua"
"Masculino","BSI","Entre 22 e 24 anos","2.Sim","5.Outro","DELL","2.Sim",
"Feminino","Sistemas de Informação","Entre 22 e 24 anos","2.Sim","2.Windows","Dell","1.Não",
"Masculino","Sistemas de Informação","Entre 22 e 24 anos","2.Sim","4.Linux","Lenovo","1.Não",
"Masculino","BCC","Entre 25 e 29 anos","2.Sim","2.Windows","Samsung","1.Não",
"Feminino","Bacharelado em Sistemas de Informação","Entre 25 e 29 anos","2.Sim","2.Windows","Lenovo","1.Não",
"Feminino","Sistemas de Informação","Entre 25 e 29 anos","2.Sim","2.Windows","Lenovo","1.Não",
"Feminino","Ciência da computação","Entre 22 e 24 anos","1.Não","2.Windows","Dell","1.Não",
"Masculino","Bacharelado em Sistemas de Informação","Entre 25 e 29 anos","2.Sim","2.Windows","HP","1.Não",
"Masculino","Ciências da computação","Entre 25 e 29 anos","2.Sim","2.Windows","Dell","1.Não",
"Masculino","Sistemas de Informação","Entre 22 e 24 anos","1.Não","4.Linux","Acer","2.Sim",
"Masculino","Sistemas de Informação","Entre 25 e 29 anos","1.Não","1.Não sei!","Não possuo computador portátil","1.Não",
"Masculino","Bacharelado em Sistemas de Informação","Entre 35 e 39 anos","2.Sim","4.Linux","Acer","1.Não",
"Masculino","Sistemas de Informação","Entre 18 e 21 anos","2.Sim","2.Windows","Samsung","1.Não",
"Masculino","Bcharelado em Ciências da Computação","Entre 18 e 21 anos","1.Não","2.Windows","Samsung","2.Sim","Octave e Python"
"Masculino","BCC","Entre 22 e 24 anos","2.Sim","2.Windows","Dell","1.Não",
"Masculino","BCC","Entre 18 e 21 anos","2.Sim","2.Windows","LG","2.Sim",
"Masculino","Bacharelado em Sistemas de Informação","Entre 18 e 21 anos","2.Sim","2.Windows","Samsung","2.Sim",
